"Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"2024","BUICK","ENCORE GX","SPORT TOURING","BLACK","EBONY SEATS WITH EBONY INTERIOR ACCENTS","","2.00","11020","23700.00","KL4AMDSL7RB157513","DORCHESTER HLE","Dorchester","MA","02122",""
"2024","BUICK","ENCORE GX","SPORT TOURING","WHITE","EBONY SEATS WITH EBONY INTERIOR ACCENTS","","0.00","11469","23700.00","KL4AMDSL5RB165447","SPRINGFIELD AP","Springfield Ap","MO","65803",""
"2024","BUICK","ENCORE GX","SPORT TOURING","BLACK","EBONY SEATS WITH EBONY INTERIOR ACCENTS","","0.00","10366","23800.00","KL4AMDSL9RB167850","JOPPA RD HLE","Towson","MD","21286",""
"2024","BUICK","ENCORE GX","SPORT TOURING","BLACK","EBONY SEATS WITH EBONY INTERIOR ACCENTS","","0.00","9037","23900.00","KL4AMDSL9RB168111","RONALD REAGAN INT L","Washgtn Nat'L Ap","VA","20001",""
"2024","BUICK","ENCORE GX","SPORT TOURING","GRAY","EBONY SEATS WITH EBONY INTERIOR ACCENTS","","0.00","4703","24300.00","KL4AMDSL8RB153924","RUTLAND MODERN AVIAT","North Clarendon","VT","05759",""
"2024","BUICK","ENVISION","PREFERRED","BLACK","EBONY","","0.00","12349","24000.00","LRBFZME48RD018799","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","13648","23900.00","LRBFZME46RD018459","FT  MYERS SOUTH","Fort Myers","FL","33908",""
"2024","BUICK","ENVISION","PREFERRED","WHI","EBONY","","819.00","11823","24100.00","LRBFZME41RD021995","ZT FORT MEYERS AP","Orlando","FL","32827",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","13725","23900.00","LRBFZME43RD017723","PANAMA CITY HLE","Panama City","FL","32401",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","14630","23700.00","LRBFZME47RD016686","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","BLACK","EBONY","","1771.00","12038","24100.00","LRBFZME42RD018751","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","BLACK","EBONY","","0.00","9940","24300.00","LRBFZME43RD022632","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","979.00","14710","23700.00","LRBFZME43RD022713","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","12819","24000.00","LRBFZME44RD017259","PUNTA GORDA AIRPORT","Punta Gorda","FL","33982",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","13565","23900.00","LRBFZME44RD018282","NASHVILLE AP","Nashville","TN","37214",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","9800","24300.00","LRBFZME44RD022011","ZT FORT MEYERS AP","Fort Myers Ap","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","10363","24300.00","LRBFZME41RD018336","FT MYERS AP","Fort Myers","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","BLACK","EBONY","","0.00","12359","24000.00","LRBFZME49RD018892","ZR FORT MYERS AP","Fort Myers Ap","FL","33913",""
"2024","BUICK","ENVISION","PREFERRED","WHITE","EBONY","","0.00","11404","24100.00","LRBFZME46RD019000","FT MYERS AP","Fort Myers","FL","33913",""
"2024","CHEVROLET","BLAZER","LT","WHITE","JET BLACK/MEDIUM GRAY","","0.00","31506","24900.00","3GNKBCR45RS167977","CROWNE PLAZA HLE","Philadelphia","PA","19131",""
"2024","CHEVROLET","EQUINOX","LT","GRAY","JET BLACK","","0.00","19501","23800.00","3GNAXUEG5RL238592","HYANNIS BARNSTABLE M","Hyannis","MA","02601",""
"2024","CHEVROLET","EQUINOX","LT","GRAY","JET BLACK","","2498.00","27495","22900.00","3GNAXUEG6RL238701","CINCINNATI R2B","Loveland","OH","45140",""
"2024","CHEVROLET","EQUINOX","LT","WHITE","JET BLACK","","0.00","17822","23900.00","3GNAXUEG7RL304849","SALEM","Salem","MA","01970",""
"2024","CHEVROLET","EQUINOX","LT","BLACK","JET BLACK","","1329.00","19381","23800.00","3GNAXUEG8RL304987","RONALD REAGAN INT L","Washgtn Nat'L Ap","VA","20001",""
"2024","CHEVROLET","EQUINOX","LT","WHITE","JET BLACK","","33.00","20823","21900.00","3GNAXKEG5RS190263","RHP AP MIAMI","Miami","FL","33142",""
"2024","CHEVROLET","EQUINOX","LT","WHITE","JET BLACK","","0.00","14480","24300.00","3GNAXUEG8RS236857","ZR FORT MYERS AP","Fort Myers Ap","FL","33913",""
"2024","CHEVROLET","EQUINOX","LT","BLACK","JET BLACK","","1.00","18084","23900.00","3GNAXUEG9RL305047","MANCHESTER","Manchester","NH","03103",""
"2024","CHEVROLET","EQUINOX","LT","GRAY","JET BLACK","","0.00","21874","21800.00","3GNAXKEG5RS190490","RHP AP MIAMI","Miami","FL","33142",""
"2024","CHEVROLET","EQUINOX","LT","BLACK","JET BLACK","","0.00","15702","24100.00","3GNAXUEG6RL304891","PHILADELPHIA INT L A","Philadelphia Ap","PA","19153",""
"2024","CHEVROLET","MALIBU","LT","GRAY","JET BLACK","","0.00","25412","18300.00","1G1ZD5ST9RF203276","HOLLAND   SUBURBAN","Holland","MI","49424",""
"2024","CHEVROLET","MALIBU","LT","BLACK","JET BLACK","","0.00","29826","18200.00","1G1ZD5ST9RF203634","HAMPTON INN","Woodbridge","NJ","07095",""
"2024","CHEVROLET","MALIBU","LT","BLACK","JET BLACK","","0.00","22860","18400.00","1G1ZD5ST4RF199735","SHELTON","Shelton","CT","06484",""
"2024","CHEVROLET","MALIBU","LT","BLACK","JET BLACK","","0.00","26623","18300.00","1G1ZD5ST5RF198271","MAPLEWOOD","Maplewood","NJ","07040",""
"2024","CHEVROLET","MALIBU","LT","BLACK","JET BLACK","","2185.00","28947","18200.00","1G1ZD5ST5RF184466","HAGERSTOWN HLE","Hagerstown","MD","21740",""
