"Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"2024","CHEVROLET","","","","JET BLACK","","578.00","26209","18300.00","1G1ZD5ST3RF202429","PENSACOLA REGIONAL AIRPORT (01422-11)","Pensacola","FL","32504",""
"2022","RAM","1500 CLASSIC","SLT","WHITE","BLA","","5180.00","61501","23700.00","1C6RR7LG4NS199104","COON RAPIDS HLE","Coon Rapids","MN","55433","05/01/2025"
"2022","RAM","1500 CLASSIC","SLT","RED","BLA","","475.00","58498","24100.00","1C6RR7LG2NS203926","TULSA INT L AP","Oklahoma City","OK","73119","06/01/2025"
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","25352","38300.00","JTEEU5JR9R5312589","ST LOUIS LAMBERT INT","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","21759","39000.00","JTEEU5JR7R5314597","MEMPHIS INTL AIRPORT","Memphis","TN","38116",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","21058","39100.00","JTEEU5JR7R5314681","ITALY AUTO BODY","Bronx","NY","10461",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","21071","39100.00","JTEEU5JR7R5313966","MOBILE REGIONAL AIRP","Mobile","AL","36608",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","30620","39100.00","JTEMU5JR7R6282501","SHAWNEE  HLE","Shawnee","KS","66203",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","21358","39100.00","JTEEU5JR8R5314950","FORT CAMPBELL HLE","Clarksville","TN","37042",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","21308","39100.00","JTEEU5JR3R5312703","NASHVILLE AP","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","20797","39200.00","JTEEU5JR0R5314702","MEMPHIS INTL AIRPORT","Memphis","TN","38116",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","20181","39300.00","JTEEU5JR8R5314527","NASHVILLE AP","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","19295","39400.00","JTEEU5JRXR5313184","PHILADELPHIA INT L A","Philadelphia Ap","PA","19153",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","19357","39400.00","JTEEU5JR6R5313148","WASHINGTON DULLES IN","Washtn Dulles Ap","VA","20166",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","18632","39500.00","JTEEU5JR7R5313725","RICHMOND HLE","Richmond","VA","23294",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","19125","39500.00","JTEEU5JR1R5314837","TUSCALOOSA HLE","Tuscaloosa","AL","35405",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","17997","39700.00","JTEEU5JR8R5313796","ZT WASHINGTON DULLES","Washtn Dulles Ap","VA","20166",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","17617","39700.00","JTEEU5JR7R5313286","RONALD REAGAN INT L","Washgtn Nat'L Ap","VA","20001",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","17705","39700.00","JTEEU5JRXR5314612","FREDERICK  HLE","Frederick","MD","21704",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","18011","39700.00","JTEEU5JR8R5314673","JACKSON  MS AP","Memphis","TN","38116",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","17653","39700.00","JTEEU5JR0R5314652","ZR KANSAS CITY AP","Kansas City Ap","MO","64153",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","17003","39800.00","JTEEU5JR9R5313824","RISHE S AUTO SERVICE","Ogdensburg","NY","13669",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","17379","39800.00","JTEEU5JR7R5313255","NASHVILLE AP","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","17308","39800.00","JTEEU5JR3R5313771","WASH DC NAT L APO","Washingtn Nat'L Ap","DC","22202",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","17175","39800.00","JTEEU5JRXR5314836","KANSAS CITY KS  INTE","Kansas City","MO","64153",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","","","0.00","16413","39900.00","JTEEU5JR5R5313125","BEST CHEVROLET","Hingham","MA","02043",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","16705","39900.00","JTEEU5JR2R5314801","CHARLOTTE DOUGLAS IN","Charlotte","NC","28214",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","16897","39900.00","JTEEU5JR5R5314243","SHREVEPORT REGIONAL","Shreveport","LA","71109",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","3324.00","16121","40000.00","JTEEU5JR2R5314863","WICHITA MID CONTINEN","Wichita","KS","67206",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","15829","40100.00","JTEEU5JR7R5314700","MANHATTAN W 52ND","Manhattan","NY","10019",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","23856","40200.00","JTEMU5JR0R6281027","EAST MOLINE HLE","East Moline","IL","61244",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","15258","40200.00","JTEEU5JR3R5314841","KANSAS CITY KS  INTE","Kansas City","MO","64153",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","14527","40300.00","JTEEU5JR0R5314716","FLOWOOD","Flowood","MS","39232",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","108.00","21731","40500.00","JTEMU5JR5R6281413","TULSA INT L AP","Tulsa","OK","74115",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","","","0.00","20989","40600.00","JTEMU5JR5R6284666","HOLLAND   SUBURBAN","Holland","MI","49424",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","302.00","20657","40700.00","JTEMU5JR4R6281788","HYATT PLACE MEADOWS","Moon Township","PA","15108",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","12143","40700.00","JTEEU5JR1R5314594","ZR NASHVILLE TN","Nashville Ap","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","11372","40900.00","JTEEU5JR8R5314835","WASHINGTON DULLES IN","Washtn Dulles Ap","VA","20166",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","19212","40900.00","JTEMU5JRXR6282069","ZR WASHINGTON REAGAN","Washgtn Nat'L Ap","DC","22202",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","18728","41000.00","JTEMU5JR7R6281672","KANSAS CITY KS  INTE","Kansas City","MO","64153",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","10458","41000.00","JTEEU5JR5R5314758","NASHVILLE AP","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","18168","41100.00","JTEMU5JR3R6281698","EASTERN IOWA AIRPORT","Cedar Rapids","IA","52404",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","18146","41100.00","JTEMU5JR0R6288754","NASHVILLE AP","Nashville","TN","37214",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","17730","41100.00","JTEMU5JR8R6282183","BOSTON MA  LOGAN AIR","Boston","MA","02128",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","17420","41200.00","JTEMU5JR6R6280979","ST PAUL UNION DEPOT","St Paul","MN","55101",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","17607","41200.00","JTEMU5JR1R6283630","ELMIRA CORNING REGIO","Elmira","NY","14845",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","16122","41400.00","JTEMU5JR4R6284593","ALBANY AP ZR","Albany Ap","NY","12211",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","16164","41400.00","JTEMU5JRXR6275624","NORTH HAMPTON HLE","North Hampton","NH","03862",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","15927","41400.00","JTEMU5JR1R6284017","PORTLAND INT L JETPO","Portland Ap","ME","04102",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","15790","41400.00","JTEMU5JRXR6283514","HLE   WORCESTER","Worcester","MA","01603",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","15661","41500.00","JTEMU5JR0R6283831","KING OF PRUSSIA","King Of Prussia","PA","19406",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","14441","41600.00","JTEMU5JR2R6289050","TSH AMTRAK 30TH ST","Philadelphia","PA","19104",""
"2024","TOYOTA","4RUNNER","SR5","BLACK","BLACK/GRAPHITE","","0.00","14822","41600.00","JTEMU5JR2R6288898","RANDOLPH HLE","Randolph","MA","02368",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","1169.00","14962","41600.00","JTEMU5JR8R6288274","WEST 83RD AND AMSTER","Manhattan","NY","10024",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","13866","41700.00","JTEMU5JR6R6282103","CHERRY CAPITAL AP","Traverse City","MI","49686",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","13418","41800.00","JTEMU5JR5R6281797","GENERAL AVIATION","Naples","FL","34104",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","13092","41800.00","JTEMU5JR1R6283921","WASHINGTON DULLES IN","Washtn Dulles Ap","VA","20166",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","13225","41800.00","JTEMU5JR1R6288388","HYATT PLACE MEADOWS","Washington","PA","15301",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","12146","42000.00","JTEMU5JR7R6288542","DETROIT METRO AP","Detroit","MI","48242",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","11745","42000.00","JTEMU5JR1R6282705","IRONDEQUOIT","Rochester","NY","14621",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","11940","42000.00","JTEMU5JRXR6289037","PITTSBURG PA  GREATE","Pittsburgh","PA","15231",""
"2024","TOYOTA","4RUNNER","SR5","WHITE","BLACK/GRAPHITE","","0.00","11870","42000.00","JTEMU5JR1R6288715","BOSTON MA  LOGAN AIR","Boston","MA","02128",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","12100","42000.00","JTEMU5JR1R6282400","DT WICHITA HLE","Wichita","KS","67213",""
"2024","TOYOTA","4RUNNER","SR5","SILVER","BLACK/GRAPHITE","","0.00","10702","42200.00","JTEMU5JR1R6284275","GERALD R FORD INTERN","Grand Rapids","MI","49512",""
"2024","TOYOTA","4RUNNER","SR5","BLUE","BLACK/GRAPHITE","","0.00","9502","42400.00","JTEMU5JR4R6288563","NORTHERN BLVD HLE","Great Neck","NY","11021",""
"2023","GMC","ACADIA","SLT","WHITE","","","861.00","60456","23900.00","1GKKNML4XPZ188990","SYRACUSE","Syracuse","NY","13203","05/01/2025"
"2023","GMC","ACADIA","SLT","GRAY","BLA","","511.00","58395","24000.00","1GKKNML47PZ115379","RONALD REAGAN INT L","Washgtn Nat'L Ap","VA","20001","06/01/2025"
"2023","GMC","ACADIA","SLT","WHITE","","","507.00","57770","24100.00","1GKKNML45PZ154407","BIRMINGHAM AP","Birmingham","AL","35212",""
"2023","GMC","ACADIA","SLT","BLACK","","","1324.00","54073","24300.00","1GKKNML49PZ153079","EAST WICHITA HLE","Wichita","KS","67206",""
"2023","GMC","ACADIA","SLT","WHITE","","","0.00","63678","24300.00","1GKKNUL40PZ128264","CHARLOTTE DOUGLAS IN","Charlotte","NC","28214","04/01/2025"
"2023","GMC","ACADIA","SLT","WHITE","","","0.00","61702","24400.00","1GKKNUL43PZ125293","ZR FORT MYERS AP","Fort Myers Ap","FL","33913","05/01/2025"
"2023","GMC","ACADIA","SLT","WHI","","","0.00","50822","24500.00","1GKKNML44PZ148453","KANSAS CITY KS  INTE","Kansas City","MO","64153",""
"2023","GMC","ACADIA","SLT","WHI","","","0.00","52074","24500.00","1GKKNML44PZ148341","BOSTON MA  LOGAN AIR","Boston","MA","02128",""
