"Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","2345.00","10699","20300.00","1G1FY6S00P4147868","AUCTION Manheim Statesville - M","Statesville","NC","28625",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.4","0.00","11914","20500.00","1G1FY6S07P4153053","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.5","0.00","12763","20600.00","1G1FY6S08P4156494","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3255.00","28723","19200.00","1G1FY6S07P4128881","RHP AP DETROIT","Detroit","MI","48242",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","0.00","11588","20300.00","1G1FY6S00P4147255","HUB MANHEIM WEST PAL","","","33004",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","2.9","3376.00","21788","19100.00","1G1FY6S02P4147404","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","9115.00","11119","20300.00","1G1FY6S00P4141827","RHP AP TAMPA","Tampa","FL","33607",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","3431.00","36357","18700.00","1G1FY6S05P4152810","RHP AP DETROIT","Detroit","MI","48242",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3799.00","27257","19200.00","1G1FY6S04P4147484","AUCTION Manheim Orlando - T","Ocoee ","FL","34761",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","0.00","10575","20400.00","1G1FY6S0XP4152446","HUB MANHEIM WEST PAL","","","33004",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.4","43.00","11811","20500.00","1G1FY6S07P4143753","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.2","4034.00","12591","20400.00","1G1FY6S07P4143610","AUCTION Manheim Balt Wash - T","Elkridge","MD","21075",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.6","5917.00","16398","20400.00","1G1FY6S09P4151336","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.6","0.00","11086","20700.00","1G1FY6S02P4142803","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","3.9","0.00","14699","20300.00","1G1FY6S07P4135216","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.3","1426.00","14208","20300.00","1G1FY6S06P4150631","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.7","0.00","19950","20100.00","1G1FY6S09P4128669","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","0.00","15962","22100.00","1G1FY6S02P4144132","RETAIL SMITHTOWN NY #187 Title","Smithtown","NY","11787",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","0.00","14430","22200.00","1G1FY6S05P4144433","RETAIL SMITHTOWN NY #187 Title","Smithtown","NY","11787",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","0.00","17485","22000.00","1G1FY6S05P4144447","RETAIL SMITHTOWN NY #187 Title","Smithtown","NY","11787",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","0.00","13119","22300.00","1G1FY6S06P4156946","RETAIL SMITHTOWN NY #187 Title","Smithtown","NY","11787",""
